RUBRO,NOMBRE FANTASIA,DIRECCION,N§,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABIT.,PLAZAS,TITULAR,E-MAIL
HOSPEDAJE,PUESTA DEL SOL,DEAN FUNES,998,CIUDAD,SAN RAFAEL,0260-4434881,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,41,150,PUESTA DEL SOL SOCIEDAD DE HECHO,puestadelsol@infovia.com
HOSPEDAJE,EL REFUGIO,SANTA ROSA,S/N,RAMA CAIDA,SAN RAFAEL,0260-4433208,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,4,56,"ASENS, NELSON ANIBAL",
CAMPING,VILLA ROSEN GARTEN,SAN MARTIN,153,CIUDAD,SAN CARLOS,02622-451117/15677532,CAMPING,SIN CATEGORIZAR,INSCRIPTO,6,20,"TRETTEL, DARIO",hotelrosengarten@hotmail.com
COL.VACAC.,PUERTO CARRIZAL,LAS TURBERAS,S/N,EL CARRIZAL,LUJAN DE CUYO,155026925,COL.VACAC.,COMPL.TCO.,INSCRIPTO,10,30,"MERINO, CARLOS MANUEL Y FERNANDEZ, MARIA E.",puertocarrizal@hotmail.com
APART-HOTEL,RUCA SKI,ALVEAR ESTE,500,CIUDAD,GRAL.ALVEAR,02625-422370,APART-HOTEL,1 ESTRELLA,INSCRIPTO,5,20,"SANCHEZ, MARTHA NIDIA",
HOSPEDAJE,MEDITERRANEO,JOSE FEDERICO MORENO,1825,CIUDAD,CAPITAL,,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,8,16,"QUEVEDO, LILIANA RUTH",mediterraneslaf@hotmail.com
ALOJAMIENTO,CAMPO BASE,AV.MITRE,946,CIUDAD,CAPITAL,4290707,ALOJAMIENTO,SIN CATEGORIZAR,E/T,7,36,"ROBLIN VILLALON, JOHANA ALEJANDRA",johana@campobase.com.ar
ALOJAMIENTO,NITRA II,RUTA PROV.173,KM25,VALLE GRANDE,SAN RAFAEL,0260-154530178-4439070,ALOJAMIENTO,SIN CATEGORIZAR,E/T,40,130,CAPIME S.R.L.,info@hotelesnitra.com.ar
ALOJAMIENTO,LAGO CHICO,RUTA 143,"KM.33,600",VALLE GRANDE,SAN RAFAEL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,2,10,"OLIVE, JUAN CARLOS",
ALOJAMIENTO,BELGRANO,BELGRANO,965,CIUDAD,CAPITAL,4253090,ALOJAMIENTO,SIN CATEGORIZAR,E/T,20,60,"BORDAS, GONZALO",
ALOJAMIENTO,SAN ALBERTO,SAN ALBERTO,LOTE 17,USPALLATA,LAS HERAS,02624-420313,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"GONZALEZ, OSCAR JORGE",
CABA¥AS,DEL CERRO,RUTA PROV.173,KM24,VALLE GRANDE,SAN RAFAEL,0260-4441333,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,10,60,"MARTIN, PEDRO A. Y OTROS",reservas@complejodelcerro.com
ALOJAMIENTO,BAYARRI,SAN ISIDRO,1047,CIUDAD,RIVADAVIA,263-4443982,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,20,"BAYARRI, JOSE JESUS",bayarri@yahoo.com.art
CABA¥AS,EL PLATA,CAMINO A VALLECITOS,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481095/4285919,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,7,30,"CORVALµN, LUIS ROBERTO",info@complejoelplata.com.ar
ALOJAMIENTO,DON HUMBERTO,RUTA 188,,GRAL.ALVEAR,GRAL.ALVEAR,02625-15408765,ALOJAMIENTO,SIN CATEGORIZAR,E/T,8,16,"CARO, HUMBERTO",
ALOJAMIENTO,MILITAR GRAL. SAN MARTIN,RUTA 7,S/N,PUENTE DEL INCA,LAS HERAS,02624-420138,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,CASINO DE OFICIALES,
CABA¥AS,EL CORTIJO DEL TORREON,AV.LOS CONDORES Y CALLE 7,,POTRERILLOS,LUJAN DE CUYO,4244581,CABA¥AS,SIN CATEGORIZAR,E/T,8,16,"HUERTA, JULIO OSVALDO",elcortijo@infovia.com.ar
APART-HOTEL,TUNKELN,9 DE JULIO,2349,CIUDAD,CAPITAL,4201267/4258042,APART-HOTEL,2 ESTRELLAS,INSCRIPTO,12,52,"GERLO, MIGUEL ANGEL",info@tunkelen.com.ar www.tunkelen.com.ar
HOSPEDAJE,AVENIDA,ALVEAR ESTE,254,CIUDAD,GRAL.ALVEAR,02625-422638,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,21,57,"BISTOLFI, RICARDO HECTOR",info@hotelavda.com.ar
HOTEL,FAMILY INN,H.YRIGOYEN,5501,LAS PAREDES,SAN RAFAEL,0260-4431451,HOTEL,2 ESTRELLAS,INSCRIPTO,20,41,GRANDE RIO S.A.,info@familyinnsanrafael.com.ar
HOSTERIA,PUENTE DEL INCA,RUTA 7 ADM.9 DE JULIO 1023 -CAPITAL,KM177,PUENTE DEL INCA,LAS HERAS,4205304/2064,HOSTERIA,SIN CATEGORIZAR,INSCRIPTO,25,80,TURISMO AYMARA S.R.L.,hpdelinca@yahoo.com.ar
ALOJAMIENTO,MOLINA,9 DE JULIO,215,CIUDAD,LA PAZ,0261-156619120,ALOJAMIENTO,SIN CATEGORIZAR,E/T,9,23,"ABATEDAGA DE MOLINA,MARTA ANA",
ALOJAMIENTO,LOS CACTUS CACHEUTA,RUTA PROV.82,KM38,CACHEUTA,LUJAN DE CUYO,02624-490159,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18,LOS CACTUS CACHEUTA S.A.,
CAMPING,EL MONTA¥ES,RUTA VIEJA PROVNCIAL 89,S/N,POTRERILLOS,LUJAN DE CUYO,155353141,CAMPAMENTO,CAMPAMENTO,INSCRIPTO,,,COOPERATIVA GRAN MENDOZA LTA.,camping_elmontanes@yahoo.com.ar
APART-HOTEL,ANDINO,GRAL.PAZ,47-P1§,CIUDAD,CAPITAL,4252906,APART-HOTEL,1 ESTRELLA,INSCRIPTO,17,54,"DEL LATORRE, CAROLINA",apartandino@ciudad.com.ar wwwandinoaparthotel.com.ar
CABA¥AS,MICHU,PUBLICA Y AVDA. DEL SOL,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481057,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,4,24,"MALTONI, ALBERTO ARTURO",
HOTEL,JARDIN,H.YRIGOYEN,283,CIUDAD,SAN RAFAEL,0260-4434621,PAT,PAT,INSCRIPTO,27,64,CARDAN S.R.L.,
ALOJAMIENTO,MARIA DE MENDOZA,LAS DELICIAS,S/N,EL CHALLAO,LAS HERAS,4440023,ALOJAMIENTO,SIN CATEGORIZAR,E/T,12,4,"BERLANGA, NILDA",maria_demendoza@yahoo.com.ar
HOSPEDAJE,MARIANI,LAMADRID,121,DORREGO,GUAYMALLEN,4319932,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,7,21,"MARIANI, LILIANA ENCINA DE",
CABA¥AS,CABA¥AS 15 MARIAS,AV.MITRE,4850,CIUDAD,SAN RAFAEL,0260-4442263,CABA¥AS,1 ESTRELLA,INSCRIPTO,17,52,"MUROS, CARLOS ALBERTO",cmuros@infovia.com.ar
ALOJAMIENTO,UVAS APART HOTEL,CHILE,1230,CIUDAD,CAPITAL,261-5996913,ALOJAMIENTO,SIN CATEGORIZAR,E/T,11,24,"MARZETTI GIMENEZ, MARCELA FABIANA",mg.marcela@hotmail.com
PAT,MARIA FLORALES,RUTA 144,S/N,CUADRO BENEGAS,SAN RAFAEL,0260-4487018,PAT,PAT,INSCRIPTO,7,26,"VARELA, ROGELIO",
ALOJAMIENTO,VILLA CIRUELOS,BERTANI,1300,LAS PAREDES,SAN RAFAEL,02604-4439673,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,12,"GREC, RICARDO ANTONIO",villaciruelos@yahoo.com.ar
CABA¥AS,BERTA Y JORGE,RUTA PROV.82,KM30,,LAS HERAS,156504024,CABA¥AS,1 ESTRELLA,INSCRIPTO,3,15,"HOLLMANN, BERTA PAULINA",bertayjorge@yahoo.com.ar
HOTEL,BONARDA HOTEL,USPALLATA,840,DORREGO,GUAYMALLEN,4320503,ALOJAMIENTO,SIN CATEGORIZAR,E/T,69,214,POP COMPANY S.A.,reservas@bonardahotel.com.ar
APART-HOTEL,EL PORTAL SUITES,NECOCHEA,661,CIUDAD,CAPITAL,4382038/4258733,APART-HOTEL,3 ESTRELLAS,INSCRIPTO,26,90,DANUBIO S.A.,reservas@elportalsuites.com.ar
HOSPEDAJE,ELENA,SAAVEDRA,75,CIUDAD,SAN RAFAEL,0260-4423150,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,6,20,"RUSSO, MARTA E.",hotelresidencialelena@hotmail.com
COL.VACAC.,KIAM-TE,RUTA PROV.82,KM39,CACHEUTA,LAS HERAS,02624-490154/51-490115,COL.VACAC.,COL.VACAC.,INSCRIPTO,5,78,"MAKSIMOWICZ, VICTOR",kiamte@ciudad.com.ar
ALOJAMIENTO,A.I.M.E.R. HOTEL,CURUPAYTTI,2120,JESUS NAZARENO,GUAYMALLEN,4267725,ALOJAMIENTO,SIN CATEGORIZAR,E/T,12,14,"ABACA, MIGUEL ANTONIO",
ALOJAMIENTO,COMPLEJO RIO AZUL,RUTA 173,,VALLE GRANDE,SAN RAFAEL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"BIELLI, MONICA BEATRIZ",
CABA¥AS,AGUAS CLARAS,RUTA PROV. 82-COLONIA SUIZA,,COLONIA SUIZA,LAS HERAS,156529018,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,6,12,"HERNANDEZ, CARLOS JUAN",Web site: www.intertournet.com.ar/aguasclaras
ALOJAMIENTO,LUGAR DEL SOL,RUTA 7,"KM,1147",USPALLATA,LAS HERAS,02624-420525,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,30,"SABUGAL ALVAREZ, MARIA DEL SOCORO",
CAMPING,CLUB EL PELICANO,DIQUE CARRIZAL-MARGEN E.,,EL CARRIZAL,RIVADAVIA,02623-422764,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"EL PELICANO Club de Pesca,caza",clubelpelicano@hotmail.com
HOSTERIA,BORRAVINO,MEDRANO,2658,CHACRAS DE CORIA,LUJAN DE CUYO,4964445,HOSTERIA,3 ESTRELLAS,INSCRIPTO,8,16,GRUPO 4 S.R.L.,reservas@posadaborravino.com
ALOJAMIENTO,INDALO,25 DE MAYO,525,DORREGO,GUAYMALLEN,4316000 - 155119588,HOTEL,1 ESTRELLA,INSCRIPTO,19,19,"ALVAREZ, JUAN CARLOS",hotelindalo2005@yahoo.com.ar
ALOJAMIENTO,VERDE OLIVA,MONTECASEROS,2223,COQUIMBITO,MAIPU,156575604,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,13,VALLESI S.R.L.,juliamoreno@verdeoliva.com.ar
ALOJAMIENTO,CLUB NAUTICA Y PESCA LOS REYUNOS,LOS REYUNOS,,LOS REYUNOS,SAN RAFAEL,0260-154563767,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,16,"ANSALONI, FABIAN MARCELO",
ALOJAMIENTO,PARQUE,AV.BULOGNE SUR MER,85,CIUDAD,CAPITAL,,ALOJAMIENTO,SIN CATEGORIZAR,INSCRIPTO,8,32,APART HOTEL PARQUE S.A.,aparthotelparque@infovia.com.ar www.aparthotelparque.com.ar
HOSTEL,SAVIGLIANO,PEDRO B.PALACIOS,944,CIUDAD,CAPITAL,4237746,HOSTEL,HOSTEL,INSCRIPTO,9,30,"RAMIREZ VARGAS, CARLOS",www.savigliano.com.ar
CABA¥AS,INTI-CO,LOS REYUNOS,S/N,LOS REYUNOS,SAN RAFAEL,0260-4426625/154662291,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,6,18,"GIANNONE, CARLOS ALBERTO",intico@infovia.com.ar
HOTEL,ALCOR HOTEL,GRAL.PAZ,86,CIUDAD,CAPITAL,4381000,HOTEL,3 ESTRELLAS,INSCRIPTO,50,100,"JAY S.A. (SCHERBOSKY, RAFAEL HUGO)",info@alcorhotel.com.ar
APART-HOTEL,TERRAZAS APARTMENTS,MAZA,106,CIUDAD,SAN RAFAEL,0260-4429474,APART-HOTEL,SIN CATEGORIZAR,INSCRIPTO,18,46,"SAEZ, ADOLFO",infoapartterrazasapartments.com.ar
CAMPING,AMCIRSE,C.LENCINAS Y M.ORZALI,S/N,CIUDAD,CAPITAL,4250846-4297228,CAMPING,1 ESTRELLA,INSCRIPTO,16,36,ASOCIACIàN MUTUAL CIRCULO SUBOFIALES DEL EJERCITO,cirsemza@millic.com.ar
HOSPEDAJE,DAM SIRE,VIAMONTE,410,SAN JOSE,GUAYMALLEN,4315142/4319278,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,15,36,"ZANFAGNINI, IRMA YOLANDA",damsire@hotmail.com
ALOJAMIENTO,BOUQUET HOTEL,CHILE,261,CIUDAD,SAN RAFAEL,260-9690621,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"MESA, MARISEL EDITH",
REFUGIO,REFUGIO DE JUAN,BATALLON NUEVA CREACION E.,262,CIUDAD,MALARGUE,0260-154675554,REFUGIO,SIN CATEGORIZAR,INSCRIPTO,11,80,"ULLOA, JUAN ISIDRO",refugiodejuan@hotmail.com
ALOJAMIENTO,CABA¥AS DEL CERRO,RUTA 173,KM.24,VALLE GRANDE,SAN RAFAEL,0260-4441333,ALOJAMIENTO,SIN CATEGORIZAR,E/T,23,11,CANA¥AS DEL CERRO S.R.L.,boeliaandramatin@yahoo.com.ar
HOTEL,NH CORDILLERA,AV.ESPA¥A,1324,CIUDAD,CAPITAL,4416464,HOTEL,4 ESTRELLAS,INSCRIPTO,107,216,LATINA DE GESTION HOTELERA S.A.,nhcordillera@nh-hoteles.com
ALOJAMIENTO,LAS CEPAS,SANTIAGO DEL ESTERO,464,CIUDAD,CAPITAL,4371283,ALOJAMIENTO,SIN CATEGORIZAR,E/T,14,45,SAN ANTONIO HOTELES S.A.,lascepasapart@gmail.com
CAMPING,VI¥AS DE VIEYTES,VIEYTES,S/N,CRUZ DE PIEDRA,MAIPU,4218543-155353141,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"BECERRA, EDUARDO EZEQUIEL",campig_vinasdevieytes@yahoo.com.ar
HOSTEL,TIERRASOLES HOSTEL,ALSINA,245,CIUDAD,SAN RAFAEL,0260-4433449,HOSTEL,HOSTEL,INSCRIPTO,6,32,"MALDONADO, NATALIA",info@tierrasoles.com.ar
HOSTERIA,LA POSTA DE SAN CARLOS,RUTA 40,KM104,EUGENIO BUSTOS,SAN CARLOS,02622-451504/891,HOSTERIA,3 ESTRELLAS,INSCRIPTO,16,48,R.P.B.S.A. (Apoderada Celia Mar¡a Baggio),info@lapostadesancarlos.com.ar
HOSPEDAJE,MI CASA,RUTA 7,S/N,USPALLATA,LAS HERAS,156586853/02624-420358,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,4,11,"VILLALOBOS, MARIA ESTELA",hospedajemicasa@hotmail.com
ALOJAMIENTO,BACKPACKERS TRAVEL,AV.GODOY CRUZ,212,CIUDAD,CAPITAL,4232474,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,40,ACCIONES Y NEGOCIOS HOTELEROS Y TURISTICOS S.A.,
ALOJAMIENTO,SOSA HAUS,AV.JUAN B.JUSTO,56,CIUDAD,CAPITAL,4254586,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,16,"ALBERTO, SERGIO",www.sosahaus.com
APART-HOTEL,CONDOR SUITES,JULIO L.AGUIRRE,90,CIUDAD,CAPITAL,4054440,APART-HOTEL,3 ESTRELLAS,INSCRIPTO,35,111,"LOMBARDO, MIGUEL EDUARDO",info@condorsuites.com - www.condorsuites.com
CAMPING,CONDORI,RUTA PROV.173,,VALLE GRANDE,SAN RAFAEL,0260-4499800,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"CONDORI, ELIODORO SATURNINO",
ALOJAMIENTO,COMPLEJO VILLA HERMOSA,LA BODEGA,S/N,RAMA CAIDA,SAN RAFAEL,0260-4376848,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,34,"PIRAGINE, MARIANA CACILIA",
CABA¥AS,DE PALACIOS,RUTA 7,S/N,USPALLATA,LAS HERAS,02624-420578,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,16,39,"PALACIOS, ALBERTO EDUARDO",www.cabanaspalacio.com
ALOJAMIENTO,ALTAS CUMBRES,RUTA 7,S/N,USPALLATA,LAS HERAS,4480641,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,23,"VALDIVIA, CRISTIAN ADRIAN",altascumbres77@yahoo.com.ar
PAT,SUCOT,AV.LOS CONDORES,S/N,POTRERILLOS,LUJAN DE CUYO,4264619 - 155659396,PAT,PAT,INSCRIPTO,3,8,"PINNA, ANGELA",angelapinna724@gmail.com
HOTEL,MERCOSUR,JUAN JUFRE,2242,SAN JOSE,GUAYMALLEN,4454135/155566425,HOTEL,SIN CATEGORIZAR,E/T,7,20,"SANSONE, JOSE CARLOS",info@mercosurhotel.com.ar www.mercosurhotel.com.ar
APART-HOTEL,XUMEC,AV.MITRE,1490,CIUDAD,CAPITAL,4204704-625*3485,APART-HOTEL,1 ESTRELLA,INSCRIPTO,7,14,"DI SPARTI, RUBEN",xumec@mendoza.com www.xumecmendoza.com.ar
ALOJAMIENTO,COMPLEJO RIO AZUL,RUTA 173,,VALLE GRANDE,SAN RAFAEL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"COLOMBO, MARIA ELENA",
CABA¥AS,CERRO ENCANTADO,RUTA 173,KM.23,VALLE GRANDE,SAN RAFAEL,0260-4431207,CABA¥AS,2 ESTRELLAS,INSCRIPTO,10,60,"VIDELA, ZULLY EMILCE",
CAMPING,AITUE,RUTA 173,KM.26,EL NIHUIL,SAN RAFAEL,0260-4441115,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"ROLNY, ELIZABET",
ALOJAMIENTO,COMPLEJO TURISTICO MILLARAY,RUTA 40,3201,LA CONSULTA,SAN CARLOS,02622-15469766,CAMPING,1 ESTRELLA,INSCRIPTO,4,20,"GONZALEZ, ISABEL SILVIA",
ALOJAMIENTO,EL LEGADO CABA¥AS DE MONTA¥A,RUTA 222,KM.30,LOS MOLLES,MALARGUE,0260-154405786,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,20,"GENOUD, NATALIA ALICIA MARIA",nataliagenoud@yahoo.com
CABA¥AS,CALI GUE,LOS ABEDULES E.,160,CIUDAD,MALARGUE,0260-4472567/154558363,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,3,21,"LIEBANA, JUAN CARLOS",cabanascaligue_atwin@yahoo.com.ar
PAT,ALTO DEL VALLE,CUBILLOS,8000,RAMA CAIDA,SAN RAFAEL,0260-4422200,PAT,PAT,INSCRIPTO,9,12,"MARTINEZ, LORENA CAROLINA",
CABA¥AS,LA POSTA DEL CHOLO,RUTA 173,KM 24,VALLE GRANDE,SAN RAFAEL,0260-154532125,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,6,24,"SANCHEZ, LAURA INES",lapostadelcholo@hotmail.com
ALOJAMIENTO,FINCA RICHMOND,RUTA 144,KM.669,CUADRO BENEGAS,SAN RAFAEL,2604632132,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"RICHMOND, RUBEN",info.fincarichmond@gmail.com
HOTEL,CASINO DE OFICIALES GUAR. MZA.,AV.SAN MARTIN,556,CIUDAD,CAPITAL,4291378/79,HOTEL,3 ESTRELLAS,INSCRIPTO,8,112,CASINO DE OFICIALES GUAR.MZA.,casinodeoficilesdemendoza@hotmail.com
CABA¥AS,CABA¥AS SUIZA,RUTA PROV. 82,KM 29,COLONIA SUIZA,LUJAN DE CUYO,154547692,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,4,16,"CANGIANI, CARLOS ALFREDO",cabanasuiza@uolsinectis.com.ar
CABA¥AS,MIS JORGELINAS,VALLE DEL SOL,,POTRERILLOS,LUJAN DE CUYO,02624-481070-156613148,CABA¥AS,SIN CATEGORIZAR,E/T,2,12,"PRADO, JORGE OMAR",
CABA¥AS,EL CHA¥AR DE SAN RAFAEL,EL MORO,4623,CUADRO BENEGAS,SAN RAFAEL,0260-154403664,CABA¥AS,1 ESTRELLA,INSCRIPTO,6,20,"PELLERITI, MARIA DEL CARMEN",info@elchanar-sanrafael.com.ar
HOSTEL,CHIMBAS,COBOS,92,DORREGO,GUAYMALLEN,4314191,HOSTEL,HOSTEL,INSCRIPTO,8,16,"CALABRO, CLAUDIO ARTURO",www.chimbashostel.com.ar / info@chimbashostel.com.ar
ALOJAMIENTO,RANCHOS DE ENCALADA,MARTINEZ BACA 14315 Y MIGUEL ANGEL 255,,BLANCO ENCALADA-EL CHALLAO,LAS HERAS,2615063982,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,16,"ORDU¥A, NELSON HERNAN",
HOTEL,CORDON DEL PLATA,9 DE JULIO,1539,CIUDAD,CAPITAL,4230250,HOTEL,3 ESTRELLAS,INSCRIPTO,77,194,DESTINO VIP S.R.L.,reservas@hotelcordondelplata.com.ar
ALOJAMIENTO,LAS POTRANCAS,RIVADAVIA,260,LA MARZOLINA,GRAL.ALVEAR,262-5668061,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"TRIVI¥O, GRACIELA SUSANA",trivigs10@gmail.com
ALOJAMIENTO,COMPLEJO CABA¥AS LOS TILOS,ASISTENTE UBILLA,208,CIUDAD,TUPUNGATO,02622-488760,PAT,PAT,E/T,5,26,"VALVERDE, MARIAM ROSA",cabanaslostilos@yahoo.com.ar
ALOJAMIENTO,REFUGIO PENITENTES,RUTA 7,KM.153,LOS PENITENTES,LAS HERAS,4255511,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,28,"IGLESIAS, ROBERTO CARLOS",reservaspenitentes@arlinkbbt.com.ar
HOSPEDAJE,INTERNACIONAL MALARGUE,CONSTITUCION NACIONAL,S/N,CIUDAD,MALARGUE,0260-154402439,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,5,20,"DIAZ, GABRIELA BEATRIZ",info@hostelmalargue.net
CAMPING,LUZ Y FUERZA,FOURCADE,S/N,BERMEJO,GUAYMALLEN,4511491,CAMPING,SIN CATEGORIZAR,E/T,,,SINDICATO DE LUZ Y FUERZA MENDOZA,www.lyfrecreo.com.ar
ALOJAMIENTO,ANTIGUA RESIDENCIA,JULIOA A.ROCA ESQ.NUEVA MAYORGA,S/N,COQUIMBITO,MAIPU,5550509,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,40,BODEGA Y VI¥EDOS COQUIMBITO SUR S.A.,g.cortinovis47@gmail.com
CABA¥AS,LOS TRONCOS,BALLOFFET,2825,CIUDAD,SAN RAFAEL,0260-4422063-154552361,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,8,24,"HERRERO, MARCOS FABIAN",www.lostroncos.com.ar
HOTEL,MALARGUE INN & SUITES,AV.SAN MARTIN NORTE,1230,CIUDAD,MALARGUE,0260-4472300/301/302,HOTEL,4 ESTRELLAS,INSCRIPTO,60,110,EUROSUR S.A.,reservas@hotelmalarguesuite.com.ar
ALOJAMIENTO,TIERRA MORA,AMEGHINO,350,CIUDAD,SAN RAFAEL,0260-4447222/4447684,ALOJAMIENTO,SIN CATEGORIZAR,E/T,17,34,"YUDOWICA, MARCELO HERNAN",www.tierramora.com
REFUGIO,PIRE,RUTA 222,188,LOS MOLLES,MALARGUE,,REFUGIO,1 ESTRELLA,INSCRIPTO,,,"SANTON, FRANCESCO",
ALOJAMIENTO,HOSTEL INTERNACIONAL MENDOZA,AV.ESPA¥A,343,CIUDAD,CAPITAL,4240018,ALOJAMIENTO,SIN CATEGORIZAR,E/T,18,73,BASE CAMP S.A.,
HOSPEDAJE,CHALET DE BASSI,CERVANTES,1795,BENEGAS,GODOY CRUZ,4394680,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,3,,"PENA, RODRIGO",chaletbassi@hotmail.com
HOSPEDAJE,MON PETIT,AV.ESPA¥A,1849,CIUDAD,CAPITAL,,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,4,16,"SANCHEZ, NORMA LUCIA",normalucias@hotmail.com
HOSTEL,EMPEDRADO,PATRICIAS MENDOCINAS,1959,CIUDAD,CAPITAL,4294131/4253580,HOSTEL,HOSTEL,INSCRIPTO,1,18,"RALLO,OSCAR EDUARDO",info@hostelempedrado.com.ar
HOSTEL,HOSTEL CASA DEL SOL,CATAMARCA,515,CIUDAD,CAPITAL,4649808,HOSTEL,HOSTEL,INSCRIPTO,5,23,"FRANCICA, EMMA ELISA",hostelcasadelsol@live.com
HOTEL,IDEAL,AV.JUAN B.JUSTO,270,CIUDAD,CAPITAL,4256842,HOTEL,1 ESTRELLA,INSCRIPTO,28,85,"BUSTOS, HECTOR MARCELO",hotelideal_mza@hotmail.com
ALOJAMINETO,LA POSADA DEL ANGEL,RUTA 173,KM.14800,RAMA CAIDA,SAN RAFAEL,0260-4641782,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,12,"MARTIN, HERNAN JAVIER",reservas@pasadadelangel.com.ar
ALOJAMIENTO,ENTRE ACEQUIAS,RUTA NAC. 188 Y CALLE 10,,LOS COMPARTOS,GRAL.ALVEAR,2625-456825,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,14,"SCHILLAGI, MARIA LAURA",malaschi_6@yahoo.com.ar
ALOJAMIENTO,ROCAS AMARILLAS,RUTA 173,KM.33,VALLE GRANDE,SAN RAFAEL,260-4624766,CABA¥AS,2 ESTRELLAS,INSCRIPTO,8,20,"DI TOMASO, DANIELA PAULA",www.rocas-amarillas.com.ar
ALOJAMIENTO,CABA¥AS ALDO,EL TOLEDANO,3195,LAS PAREDES,SAN RAFAEL,0260-15489050,PAY,PAT,INSCRIPTO,2,11,"CUCCIA, MARCEDES BEATRIZ",lee_d20@hotmail.com
CABA¥AS,PUEBLO DEL RIO,RUTA 7,KM1108,POTRERILLOS,LUJAN DE CUYO,261-6180498,CABA¥AS,3 ESTRELLAS,INSCRIPTO,7,40,PUEBLO DEL RIO S.R.L.,placave@pueblodelrio.com.ar
HOTEL,FUENTE MAYOR HOTEL & RESORT,RUTA PROV.92,KM.153,VISTA FLORES,TUNUYAN,02622-492187-492192,HOTEL,4 ESTRELLAS,INSCRIPTO,52,104,FUENTE MAYOR S.A.,info@hotelfuentemayor.com
ALOJAMIENTO,CAMPING DON RAMON,LOTEO VALLE SOL Y NIEVE,S/N,MANZANO HISTORICO,TUNUYAN,02622-15408629,CAMPING,1 ESTRELLA,INSCRIPTO,,,"RODRIGUEZ, RAMON DECIDERIO",campingramon@hotmail.com
ALOJAMIENTO,NG,GUEMES,528,SAN JOSE,GUAYMALLEN,261-4601902,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"VARALTA, OMAR",varaltaomar@gmail.com
ALOJAMIENTO,ALTA MENDOZA,SAN LUIS,599,CIUDAD,CAPITAL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,10,30,"VALDES, GUSTAVO ADOLFO",mendoza.lodging@hotmail.com
ALOJAMIENTO,LOS TONELES,SUIPACHA,457,CIUDAD,SAN RAFAEL,0260-154545605,ALOJAMIENTO,SIN CATEGORIZAR,E/T,2,8,"COCO, ALBERTO MIGUEL",lostoneles_dptos@hotmail.com
